MIDAS,Lake,Towns,Area_ac,Perim_mi,D_Mean_ft,D_Max_ft,Volume_acft,DDrain_sqmi,TDrain_sqmi,Flushes_p_yr,Trop_Cat,Dam,Elev_ft,Major_Drainage,Sub_Drainage,HUC10_Name,HUC10_Code,USGS_Quad24,County,UTM_X,UTM_Y,Latitude,Longitude,WQ_Statement,Invasives,Fishery
504,Yoke Ponds,TA R11 WELS,107,3.8000000000000003,8,15,812.4298896,1.509651,6.29,7.63,EUTRO,no dam,1280,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Wadleigh Mtn,Piscataquis,487576,5053006,45.63048546,-69.15939145,n/a,None known,Coldwater
506,Long Pond,"TA R11 WELS, T1 R11 WELS",370,5.1,23,50,7667.044708,1.953666,2.38,0.42,OLIGO,no dam,1389,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,489337,5057333,45.66946293,-69.13689598,n/a,None known,Coldwater
507,Deering Lake,"Orient, Weston",506,4.5,30,49,13194.7704,2.984553,3.36,0.22,OLIGO,no dam,465,ST. CROIX,ST. CROIX,Spednick Lake,105000101,Orient,Aroostook,589404,5068538,45.76461597,-67.85025591,Above average,None known,Coldwater
508,Spruance Pond,TA R11 WELS,10,0.7000000000000001,2,4,145.9296,0.046332,0.07,0.71,NA,no dam,1290,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Wadleigh Mtn,Piscataquis,487313,5053816,45.63777229,-69.16278851,n/a,None known,Coldwater
509,Dimmock Pond,New Canada,10,0.5,4,7,15.33809275,0.262548,0.27,18.3,EUTRO,no dam,888,ST. JOHN,LOWER FISH,Eagle Lake,101000303,Daigle,Aroostook,538974,5220973,47.14110824,-68.48600386,n/a,None known,Bait
510,Little Pleasant Pond,TA R11 WELS,16,0.8,5,16,NA,NA,3.7800000000000002,NA,NA,no dam,1295,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Wadleigh Mtn,Piscataquis,486932,5053557,45.63544089,-69.1676698,n/a,None known,Coldwater
511,Duck Pond,Standish,11,0.9,NA,NA,115.284384,0.146718,0.17,1.61,NA,NA,325,PRESUMPSCOT,PRESUMPSCOT,Sebago Lake,106000101,Sebago Lake,Cumberland,371955,4849710,43.78936821,-70.59145546,n/a,None known,n/a
512,Big Pleasant Pond,TA R11 WELS,194,2.6,22,52,3749.914017,2.023164,3.72,1.31,OLIGO,no dam,1291,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Wadleigh Mtn,Piscataquis,486782,5054337,45.6424584,-69.16961428,n/a,None known,Coldwater
513,unnamed pond,Standish,8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,275,PRESUMPSCOT,PRESUMPSCOT,Sebago Lake,106000101,Sebago Lake,Cumberland,375451,4851093,43.80241179,-70.54834726,n/a,None known,n/a
514,Birch Ridge Pond #1,TA R11 WELS,12,0.6,14,18,154.6363274,0.131274,0.18,1.27,MESO,no dam,1336,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Wadleigh Mtn,Piscataquis,488108,5054199,45.64124041,-69.1525978,n/a,None known,Remote
515,Aldens Pond,Gorham,1,0.2,4,9,NA,NA,0.17,NA,MESO,surface increased >50%,190,PRESUMPSCOT,PRESUMPSCOT,Presumpscot River,106000103,Gorham,Cumberland,382841,4837639,43.68252814,-70.45356815,n/a,None known,No fishery
516,Birch Ridge Pond #2,TA R11 WELS,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,1330,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Wadleigh Mtn,Piscataquis,488293,5053889,45.63844557,-69.15021537,n/a,None known,n/a
517,Beaver Pond,Westbrook,4,0.6,NA,NA,NA,NA,NA,NA,NA,no dam,75,COASTAL,COASTAL,Presumpscot River,106000103,Portland West,Cumberland,390031,4836515,43.67350481,-70.3641685,n/a,None known,Coldwater + Warmwater
518,Birch Ridge Pond #3,TA R11 WELS,2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,1338,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Wadleigh Mtn,Piscataquis,487657,5054287,45.64202181,-69.15837935,n/a,None known,n/a
519,unnamed pond,Standish,49,1.4000000000000001,NA,NA,NA,NA,0.78,NA,NA,NA,270,PRESUMPSCOT,PRESUMPSCOT,Sebago Lake,106000101,Sebago Lake,Cumberland,375198,4851917,43.80978616,-70.55167783,n/a,None known,n/a
520,Crawford Pond,TA R11 WELS,340,4.5,32,62,11839.78488,2.691117,11.4,1.13,OLIGO,surface increased <50%,1215,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Wadleigh Mtn,Piscataquis,489791,5052577,45.62666488,-69.13097022,n/a,None known,Coldwater
521,Ritter Lake,Bridgewater,5,0.4,7,12,NA,NA,0.17,NA,EUTRO,no dam,475,ST. JOHN,MEDUXNEKEAG,Big Presque Isle Stream,101000501,Bridgewater,Aroostook,592993,5137886,46.38815508,-67.79055273,n/a,None known,Coldwater
522,Big Rocky Pond,TA R11 WELS,110,2.9,4,6,314.7999817,1.308879,0.04,6.3,EUTRO,no dam,1376,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Wadleigh Mtn,Piscataquis,489036,5055376,45.65184562,-69.14072092,n/a,None known,Coldwater
523,unnamed pond,Standish,6,1.6,NA,NA,NA,NA,0.62,NA,NA,NA,267,PRESUMPSCOT,PRESUMPSCOT,Sebago Lake,106000101,Sebago Lake,Cumberland,373538,4853189,43.82095786,-70.57261632,n/a,None known,n/a
524,Little Rocky Pond,TA R11 WELS,13,0.7000000000000001,3,4,21.54350578,0.274131,0.25,18.89,EUTRO,no dam,1386,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,486225,5055920,45.65669339,-69.17680382,n/a,None known,Remote
525,Trout Pond,Brighton Plt,11,0.7000000000000001,NA,NA,113.09544,0.92664,0.71,8.6,NA,NA,830,KENNEBEC,UPPER SEBASTICOOK,Sebasticook River at Pittsfield,103000307,Kingsbury,Somerset,447402,4987781,45.04153034,-69.66783545,n/a,None known,Warmwater
526,Monkey Pond,TA R11 WELS,21,0.8,5,10,108.9926293,0.096525,0.16,1.56,EUTRO,no dam,1456,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,485354,5055737,45.65502521,-69.18798733,n/a,None known,Coldwater
528,Bear Pond,TA R11 WELS,7,0.6,2,4,121.608,0.768339,0.63,8.98,NA,no dam,1365,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,484701,5055014,45.64850752,-69.19633507,n/a,None known,Coldwater
529,Mild Pond,Falmouth,7,0.6,5,9,NA,NA,NA,NA,MESO,no dam,15,PRESUMPSCOT,PRESUMPSCOT,Presumpscot River,106000103,Portland West,Cumberland,399049,4840345,43.70925899,-70.25303428,n/a,None known,No fishery
530,Bog Pond,TA R11 WELS,35,1,2,5,389.1456,1.100385,3.2800000000000002,13.120000000000001,NA,no dam,1363,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,486675,5057079,45.66713545,-69.17106829,n/a,None known,Coldwater
532,Henderson Pond,TA R11 WELS,196,3,36,91,5687.577785,1.613898,1.73,0.41000000000000003,OLIGO,no dam,1339,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Nahamakanta Stream,Piscataquis,492035,5057075,45.667182939999996,-69.1022507,n/a,None known,Coldwater
534,Johnston Pond,TA R10 WELS,58,1.4000000000000001,19,60,1105.215661,0.84942,1.02,1.13,OLIGO,no dam,1358,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Jo Mary Mtn,Piscataquis,494932,5049461,45.5986772,-69.0649879,n/a,None known,Coldwater
535,unnamed pond,West Bath,18,1.3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,Casco Bay Coastal Drainages,106000106,Bath,Sagadahoc,431797,4858527,43.87668793,-69.8489338,n/a,None known,n/a
536,Duck Pond,TA R10 WELS,8,0.5,NA,NA,77.82912,0.366795,0.46,5.96,NA,NA,555,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Nahamakanta Stream,Piscataquis,499941,5052997,45.63051801,-69.00075853,n/a,None known,n/a
537,unnamed pond,Brunswick,3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,Casco Bay Coastal Drainages,106000106,Brunswick,Cumberland,426050,4859764,43.88727272,-69.92062164,n/a,None known,n/a
538,Church Pond,TA R10 WELS,47,2,4,12,NA,NA,22.1,NA,EUTRO,no dam,645,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Nahamakanta Stream,Piscataquis,496829,5055021,45.64873153,-69.04069927,n/a,None known,Coldwater
539,unnamed pond,Brunswick,2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,Casco Bay Coastal Drainages,106000106,Brunswick,Cumberland,423228,4860704,43.89544131,-69.95589051,n/a,None known,n/a
540,Cooper Pond,TA R10 WELS,242,5,10,15,2108.89675,14.602302,26.1,14.9,EUTRO,no dam,554,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Nahamakanta Stream,Piscataquis,499530,5054719,45.64602031,-69.00602956,n/a,None known,Warmwater
541,Coffin Pond,Brunswick,4,0.5,5,13,NA,NA,0.9,NA,MESO,no dam,45,MERRYMEETING BAY,MERRYMEETING BAY,Casco Bay Coastal Drainages,106000106,Brunswick,Cumberland,423099,4860924,43.89740989,-69.95751896,n/a,None known,No fishery
542,Mud Pond,"TA R10 WELS, T1 R10 WELS",218,6.3,NA,NA,2213.2656,7.768332,12.6,6.58,NA,NA,508,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Nahamakanta Stream,Piscataquis,499319,5057148,45.66787941,-69.00873895,n/a,None known,n/a
544,Babbble Brook Deadwater,TB R10 WELS,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,730,PENOBSCOT,PLEASANT,Pleasant River,102000404,Jo Mary Mtn,Piscataquis,497246,5039604,45.50996661,-69.03525903,n/a,None known,n/a
546,Leavitt Pond,T1 R11 WELS,51,1.8,9,30,449.3949864,1.509651,2.45,6.7,MESO,no dam,1053,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Nahamakanta Stream,Piscataquis,492514,5058880,45.68342742,-69.09612519,n/a,None known,Coldwater
548,Tumbledown Dick Pond,T1 R11 WELS,21,1,4,11,NA,NA,1.53,NA,NA,no dam,975,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Nahamakanta Stream,Piscataquis,493748,5060397,45.69709773,-69.08029869,n/a,None known,Warmwater
552,Rabbit Pond,T1 R11 WELS,6,0.4,4,11,72.9648,0.528957,0.7000000000000001,12.44,NA,no dam,1245,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Nahamakanta Stream,Piscataquis,490827,5058969,45.68421344,-69.11779951,n/a,None known,Coldwater
554,Loon Pond,T1 R11 WELS,4,0.3,NA,NA,48.6432,0.046332,0.04,1.4000000000000001,NA,NA,1410,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,490045,5059416,45.68822271,-69.12784297,n/a,None known,n/a
556,Hedgehog Pond,T1 R11 WELS,5,0.4,2,3,48.6432,0.158301,0.14,4.38,NA,no dam,1325,PENOBSCOT,LOWER W. BR. PENOBSCOT,Jo-Mary Lake,102000108,Wadleigh Mtn,Piscataquis,489949,5058862,45.68323345,-69.12907073,n/a,None known,No fishery
558,Sing Sing Pond,T1 R11 WELS,48,1.4000000000000001,7,14,273.2625804,0.590733,0.59,3.8000000000000003,EUTRO,no dam,1270,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,488876,5058821,45.68285291,-69.14284915,n/a,None known,Coldwater
560,Little Penobscot Pond,T1 R11 WELS,31,1.9000000000000001,NA,NA,364.824,1.949805,11.200000000000001,41.63,NA,NA,1254,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,486105,5058474,45.67968041,-69.17841907,n/a,None known,n/a
562,Prentiss Pond,T1 R11 WELS,15,0.7000000000000001,5,9,46.56540571,0.108108,0.16,3.21,EUTRO,no dam,1105,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,488163,5064011,45.72955737,-69.15213037,n/a,None known,Coldwater
563,Round Pond,"T7 SD, T10 SD, Steuben",201,2.3,15,26,2422.355314,0.544401,1.75,0.47000000000000003,EUTRO,surface increased <50%,160,COASTAL,TUNK,Tunk Stream,105000210,Tunk Lake,Hancock,578415,4937791,44.58918978,-68.01211473,n/a,None known,Coldwater + Warmwater
564,Second Musquash Pond,T1 R11 WELS,35,4.9,NA,NA,535.0752,7.428564,20.2,43.84,NA,NA,930,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,486837,5062554,45.71641972,-69.16913504,n/a,None known,No fishery
566,First Musquash Pond,T1 R11 WELS,40,1.7,2,6,NA,NA,22,NA,NA,no dam,925,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,486144,5063930,45.72878263,-69.17807707,n/a,None known,Coldwater
568,Penobscot Pond,"T1 R11 WELS, T1 R12 WELS",284,4,9,20,2692.363016,5.189184,5.5200000000000005,2.45,EUTRO,surface increased <50%,1257,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,484106,5058845,45.68297547,-69.20410399,n/a,None known,Coldwater
570,Third Musquash Pond,"T1 R11 WELS, T1 R12 WELS",16,0.6,NA,NA,243.216,0.961389,1.26,4.84,NA,NA,1235,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,484300,5062185,45.71303886,-69.20171715,n/a,None known,n/a
572,Wadleigh Pond,T1 R11 WELS,239,3.8000000000000003,33,90,7126.580652,3.810807,40.5,7.61,MESO,no dam,914,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,485365,5065714,45.74482784,-69.18813904,n/a,None known,Coldwater
574,Female Pond,T1 R12 WELS,99,2.1,17,65,1725.923161,15.050178,16.1,12.86,EUTRO,no dam,972,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Wadleigh Mtn,Piscataquis,482652,5066077,45.74803066,-69.22303448,n/a,None known,Coldwater
576,Pollywog Pond,"Rainbow Twp, T1 R11 WELS, T1 R12 WELS",146,4.1,16,58,2158.072593,6.915051,47.6,29.38,MESO,no dam,905,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake West,Piscataquis,484960,5067278,45.75889268,-69.19339334,n/a,None known,Coldwater
578,Little Female Pond,T1 R12 WELS,12,0.7000000000000001,NA,NA,145.9296,0.880308,1.01,7.26,NA,NA,1055,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake West,Piscataquis,481067,5066545,45.75220373,-69.2434238,n/a,None known,n/a
580,Sixth Debsconeag Lake,"Rainbow Twp, T1 R11 WELS",30,1,10,26,316.1808,0.216216,0.25,0.99,MESO,no dam,967,PENOBSCOT,LOWER W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,490542,5067408,45.76016138,-69.12162164,Above average,None known,Remote
582,Fourth Debsconeag Lake,"T1 R10 WELS, T1 R11 WELS",223,3.2,69,150,12792.69787,1.938222,5.93,0.58,OLIGO,no dam,632,PENOBSCOT,LOWER W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,493982,5066539,45.75238407,-69.07737701,Above average,None known,Coldwater
584,Third Debsconeag Lake,"T1 R10 WELS, T2 R10 WELS",970,11.5,70,162,57735.95015,4.884165,12.5,0.27,OLIGO,surface increased <50%,572,PENOBSCOT,LOWER W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,497663,5067176,45.75813376,-69.03004914,Above average,None known,Coldwater
586,Second Debsconeag Lake,T2 R10 WELS,172,4.1,16,28,2732.743358,4.135131,21.2,9.8,OLIGO,no dam,532,PENOBSCOT,LOWER W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,497181,5069380,45.77797139,-69.03626091,n/a,None known,Coldwater
588,Moose Pond,T2 R10 WELS,4,0.3,NA,5,48.6432,0.123552,NA,3.22,MESO,no dam,970,PENOBSCOT,LOWER W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,494454,5069218,45.77649566,-69.07133955,n/a,None known,Coldwater
590,Big Minister Pond,T2 R10 WELS,14,0.7000000000000001,7,35,77.66681386,2.023164,2.71,43.92,MESO,no dam,778,PENOBSCOT,LOWER W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,496086,5070509,45.78812776,-69.0503601,n/a,None known,Remote
592,Little Minister Pond,T2 R10 WELS,4,0.3,12,18,48.6432,0.216216,0.23,5.22,MESO,no dam,835,PENOBSCOT,LOWER W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,495514,5070893,45.791585069999996,-69.05771975,n/a,None known,Remote
594,Daisey Pond,T2 R10 WELS,11,0.6,NA,13,54.42128251,0.621621,0.62,13.42,MESO,no dam,1035,PENOBSCOT,LOWER W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,496527,5072301,45.80426005,-69.04469154,n/a,None known,Remote
596,Little Hurd Pond,T2 R10 WELS,60,1.9000000000000001,NA,90,1477.848516,2.911194,2.99,2.39,OLIGO,no dam,730,PENOBSCOT,LOWER W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,497524,5074725,45.82608312,-69.03188086,n/a,None known,Remote
598,Pitman Pond,T2 R10 WELS,14,0.8,NA,14,111.2315947,0.162162,0.38,2.42,EUTRO,no dam,810,PENOBSCOT,LOWER W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,499271,5074439,45.82351237,-69.00939113,n/a,None known,Remote
600,Nesourdnehunk Deadwater,"T2 R10 WELS, T3 R10 WELS",2,0.2,NA,NA,NA,NA,1444,NA,NA,NA,590,PENOBSCOT,MIDDLE W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,495815,5077255,45.84884443,-69.05390283,n/a,None known,n/a
601,unnamed pond,Rainbow Twp,5,0.4,NA,NA,89.98992,0.258687,NA,3.5,NA,NA,1124,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake West,Piscataquis,490193,5069853,45.78217074,-69.126159,n/a,None known,n/a
602,Fifth Debsconeag Lake,"Rainbow Twp, T1 R11 WELS",87,2.3,13,42,987.9758208,2.293434,3.85,5.2,MESO,surface increased <50%,816,PENOBSCOT,LOWER W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,492260,5067638,45.76226028,-69.09952936,Average,None known,Coldwater
603,unnamed pond,Rainbow Twp,3,0.4,NA,NA,29.18592,0.061776,NA,34.31,NA,NA,1105,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake West,Piscataquis,490276,5069029,45.77475579,-69.12507357,n/a,None known,n/a
604,Stink Pond,Rainbow Twp,9,0.7000000000000001,NA,NA,95.097456,0.339768,0.34,4.38,NA,NA,1170,PENOBSCOT,LOWER W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,493043,5068388,45.76901772,-69.08947697,n/a,None known,n/a
605,unnamed pond,Rainbow Twp,2,0.3,NA,NA,20.186928,0.146718,NA,8.78,NA,NA,1210,PENOBSCOT,LOWER W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,490899,5069394,45.77804905,-69.11706678,n/a,None known,n/a
606,Seventh Debsconeag Pond,Rainbow Twp,9,0.7000000000000001,NA,NA,92.908512,0.243243,NA,14.02,NA,NA,1005,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake East,Piscataquis,490595,5068454,45.76958138,-69.1209631,n/a,None known,n/a
608,Eighth Debsconeag Pond,Rainbow Twp,8,0.7000000000000001,NA,NA,97.2864,0.362934,0.35000000000000003,9.52,MESO,NA,1115,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake West,Piscataquis,490300,5069441,45.77845828,-69.12477586,n/a,None known,n/a
610,Big Beaver Pond,Rainbow Twp,42,1.3,17,48,610.143413,1.054053,1.14,2.16,OLIGO,no dam,992,PENOBSCOT,LOWER W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,493848,5071410,45.79622166,-69.07915844,n/a,None known,Remote
612,Little Beaver Pond,T3 R11 WELS,7,0.6,NA,NA,97.2864,0.100386,0.68,7.12,NA,NA,1205,PENOBSCOT,MIDDLE W. BR. PENOBSCOT,Nesowadnehunk Stream,102000106,Doubletop Mtn,Piscataquis,494230,5081356,45.88574431,-69.0743651,n/a,None known,Remote
614,Rainbow Lake,Rainbow Twp,1626,16.9,41,130,63348.41553,6.745167,10.6,0.21,OLIGO,surface increased <50%,1050,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake East,Piscataquis,491098,5074816,45.82685165,-69.1146028,Above average,None known,Coldwater
616,Doughnut Pond,Rainbow Twp,15,0.9,11,34,157.8689113,0.274131,0.23,2.38,MESO,no dam,1240,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake East,Piscataquis,490505,5072956,45.810097,-69.12220937,n/a,None known,Remote
618,Stratton Pond,Rainbow Twp,11,0.6,NA,NA,145.9296,0.498069,0.46,4.54,NA,NA,1255,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake East,Piscataquis,491890,5070834,45.79102339,-69.10434077,n/a,None known,Remote
620,Gould Pond,Rainbow Twp,12,0.8,7,22,121.608,0.586872,0.91,9.6,MESO,no dam,1068,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake West,Piscataquis,489136,5070240,45.78563038,-69.13976507,n/a,None known,Remote
622,Woodman Pond,Rainbow Twp,7,0.7000000000000001,3,5,NA,NA,0.84,NA,EUTRO,no dam,1190,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake East,Piscataquis,492341,5075424,45.83233392,-69.09861019,n/a,None known,Remote
624,Clifford Pond,Rainbow Twp,21,0.8,11,24,275.2875968,0.474903,0.51,3.81,MESO,no dam,1192,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake East,Piscataquis,492784,5075725,45.83504914,-69.09291016,n/a,None known,Remote
626,Horserace Ponds,"Rainbow Twp, T3 R11 WELS",49,2.1,24,48,486.432,0.787644,0.85,2.09,OLIGO,no dam,1055,PENOBSCOT,MIDDLE W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake East,Piscataquis,491635,5077647,45.85234038,-69.10773919,n/a,None known,Remote
630,Pym Pond #1,Rainbow Twp,3,0.3,NA,NA,48.6432,0.104247,0.17,2.7,NA,NA,1193,PENOBSCOT,MIDDLE W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake West,Piscataquis,489343,5076208,45.83935326,-69.13723246,n/a,None known,n/a
631,Pym Pond #2,Rainbow Twp,3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,1160,PENOBSCOT,MIDDLE W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake West,Piscataquis,489186,5076304,45.84021174,-69.13925726,n/a,None known,n/a
632,Holbrook Pond,"Rainbow Twp, T3 R11 WELS",222,2.8000000000000003,44,80,8975.021442,1.783782,2.65,0.32,OLIGO,no dam,1009,PENOBSCOT,MIDDLE W. BR. PENOBSCOT,West Branch Penobscot River (3),102000109,Rainbow Lake West,Piscataquis,488604,5077328,45.84941956,-69.14677743,n/a,None known,Remote
634,Collins Pond,Rainbow Twp,4,0.3,NA,NA,41.34680107,0.212355,0.24,6.8100000000000005,NA,NA,1110,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake West,Piscataquis,487039,5074631,45.82512085,-69.16686166,n/a,None known,Coldwater
636,Bear Pond,Rainbow Twp,32,0.9,32,94,943.4267568,0.563706,0.61,0.79,MESO,no dam,1050,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake West,Piscataquis,487788,5072206,45.80330532,-69.15715925,n/a,None known,Remote
638,Big Murphy Pond,Rainbow Twp,8,0.5,10,27,82.46546554,0.316602,0.46,5.1,MESO,no dam,985,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake West,Piscataquis,486899,5071266,45.79483109,-69.16856688,n/a,None known,Remote
640,Little Murphy Pond,Rainbow Twp,2,0.2,2,3,NA,NA,NA,NA,EUTRO,no dam,1000,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake West,Piscataquis,486517,5071560,45.79747201,-69.17349167,n/a,None known,Coldwater
642,Murphy Pond #3,Rainbow Twp,2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,978,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake West,Piscataquis,487259,5071578,45.79764524,-69.16394918,n/a,None known,n/a
644,Buck Pond,Rainbow Twp,7,0.4,6,13,35.45197488,0.03861,0.04,1.84,MESO,no dam,1250,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake West,Piscataquis,486250,5073852,45.8180904,-69.17699239,n/a,None known,Remote
646,Lower Bean Pond,Rainbow Twp,39,1.1,11,30,404.3316017,0.332046,1.6600000000000001,5.32,MESO,no dam,1048,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake West,Piscataquis,485249,5073248,45.81263663,-69.18985622,n/a,None known,Remote
648,Middle Bean Pond,Rainbow Twp,8,0.8,NA,NA,97.2864,0.471042,1.26,16.29,NA,NA,1060,PENOBSCOT,LOWER W. BR. PENOBSCOT,Nahamakanta Stream,102000107,Rainbow Lake West,Piscataquis,485332,5073955,45.81900222,-69.18881276,n/a,None known,Remote
