MIDAS,Lake,Towns,Flushes_p_yr,Trop_Cat,Dam,Major_Drainage,Sub_Drainage,HUC10_Name,HUC10_Code,USGS_Quad24,County,UTM_X,UTM_Y,Latitude,Longitude,WQ_Statement,Invasives,Fishery,Area_sq_m,Perim_km,D_Mean_m,D_Max_m,Volume_m3,DDrain_ha,TDrain_ha,Elev_m
3092,Mud Pond,Drew Plt,8.71,NA,NA,PENOBSCOT,LOWER MATTAWAMKEAG,Mattawamkeag River (2),102000305,Potter Hill,Penobscot,568732,5044158,45.54756373,-68.11951208,n/a,None known,n/a,975292.4,0.72,NA,NA,3030025,4910.97,4895.08,96.3
3094,unnamed pond,Parmachenee Twp,NA,NA,NA,NA,NA,Aziscohos Lake Drainage,104000103,Rump Mtn,Oxford,342205,5008500,45.21230656,-71.00952159,n/a,None known,n/a,20234.28,0.1,NA,NA,NA,NA,NA,513.6
3096,unnamed pond,Parmachenee Twp,NA,NA,NA,NA,NA,Aziscohos Lake Drainage,104000103,Rump Mtn,Oxford,340831,5008649,45.21334277,-71.027055,n/a,None known,n/a,8093.71,0.03,NA,NA,NA,NA,NA,515.1
3098,Limestone Pond,Limestone,NA,NA,NA,ST. JOHN,LOWER AROOSTOOK,Aroostook River (4) at Mouth in Canada,101000413,Limestone,Aroostook,589479,5196328,46.91445314,-67.82490414,n/a,None known,n/a,56655.99,0.16,NA,NA,NA,NA,NA,158.5
3100,Mollidgewock Pond,Upton,0.46,EUTRO,no dam,ANDROSCOGGIN,ANDROSCOGGIN (N. H.),Middle Androscoggin River,104000106,Umbagog Lake South,Oxford,339785,4948794,44.67462929,-71.02138228,n/a,None known,Coldwater,84983.98,0.13,1.2,2.4,142502,429,344.47,508.1
3102,Umbagog Lake,"Magalloway Plt, Upton",9.44,MESO,surface increased <50%,ANDROSCOGGIN,UMBAGOG-RANGELEY,Umbagog Lake Drainage,104000102,Umbagog Lake North,Oxford,338971,4960028,44.77551134,-71.03518703,Average,None known,Coldwater + Warmwater,31433957.26,1.35,4.3,14.6,93981449,30098.83,155399.29,379.5
3104,Sturtevant Pond,Magalloway Plt,2.48,MESO,no dam,ANDROSCOGGIN,MAGALLOWAY,Magalloway River,104000104,Umbagog Lake North,Oxford,340056,4970124,44.86658534,-71.02465343,n/a,None known,Coldwater + Warmwater,2136740.19,0.76,7,17.7,16308588,5539.97,6397.27,379.2
3106,Aziscohos Pond,Magalloway Plt,12.67,MESO,no dam,ANDROSCOGGIN,UMBAGOG-RANGELEY,Richardson Lakes,104000101,Richardson Pond,Oxford,342804,4973349,44.89621445,-70.9908978,n/a,None known,Remote,60702.85,0.13,3.4,9.8,123775,216,246.05,623.3
3108,Billings Pond #1,Parmachenee Twp,2.32,NA,NA,ANDROSCOGGIN,MAGALLOWAY,Aziscohos Lake Drainage,104000103,Rump Mtn,Oxford,341108,5010051,45.22601307,-71.02398503,n/a,None known,Coldwater,36421.71,0.08,1.5,3.7,240002,16,64.75,516.6
3110,Billings Pond #2,Parmachenee Twp,4.98,NA,NA,ANDROSCOGGIN,MAGALLOWAY,Aziscohos Lake Drainage,104000103,Rump Mtn,Oxford,341254,5010470,45.22981324,-71.02225304,n/a,None known,Coldwater,24281.14,0.06,0.6,1.2,75001,47,56.98,516.6
3112,Rump Pond,Parmachenee Twp,7.95,NA,no dam,ANDROSCOGGIN,MAGALLOWAY,Aziscohos Lake Drainage,104000103,Rump Mtn,Oxford,341696,5008254,45.20998516,-71.01592254,n/a,None known,Coldwater,117358.84,0.14,2.4,4.3,420004,424,101.01,513.6
3114,Beaver Pond,Parmachenee Twp,NA,NA,NA,ANDROSCOGGIN,MAGALLOWAY,Aziscohos Lake Drainage,104000103,Rump Mtn,Oxford,339337,5004994,45.18011676,-71.04489869,n/a,None known,n/a,8093.71,0.05,NA,NA,NA,NA,124.32,673.6
3116,Long Pond,Lynchtown Twp,NA,NA,NA,ANDROSCOGGIN,MAGALLOWAY,Aziscohos Lake Drainage,104000103,Rump Mtn,Oxford,341139,4999993,45.13554367,-71.02038551,n/a,None known,n/a,40468.56,0.18,NA,NA,NA,NA,3366.98,472.4
3118,Barker Pond,Bowmantown Twp,1.27,NA,no dam,ANDROSCOGGIN,MAGALLOWAY,Aziscohos Lake Drainage,104000103,Moose Bog,Oxford,342414,5019019,45.30698296,-71.01019526,n/a,None known,Coldwater,157827.4,0.21,1.2,2.4,2730023,396,458.43,661.1
3120,Bowman Pond #1,Bowmantown Twp,8.78,NA,NA,ANDROSCOGGIN,MAGALLOWAY,Aziscohos Lake Drainage,104000103,Moose Bog,Oxford,339535,5015667,45.27618064,-71.0458197,n/a,None known,n/a,16187.43,0.06,NA,NA,51000,61,59.57,622.1
3122,Bowman Pond #2,Bowmantown Twp,12.280000000000001,NA,NA,ANDROSCOGGIN,MAGALLOWAY,Aziscohos Lake Drainage,104000103,Moose Bog,Oxford,339929,5015777,45.27726206,-71.04082899,n/a,None known,n/a,12140.57,0.05,NA,NA,33000,56,49.21,630
3124,Beaver Pond,Denmark,7.92,MESO,no dam,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Hiram,Oxford,353760,4873000,43.99559184,-70.82388212,Average,None known,Warmwater,323748.51,0.32,1.5,2.4,424677,520,551.67,121
3126,Granger Pond,Denmark,0.96,MESO,surface increased <50%,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Hiram,Oxford,356647,4868458,43.9552805,-70.78666695,Above average,None known,Warmwater,505857.05,0.45,3.7,8.5,1998223,262,313.39,159.7
3128,Little Moose Pond,Denmark,NA,MESO,no dam,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Hiram,Oxford,354447,4869157,43.96113897,-70.81426276,Below average,None known,Warmwater,133546.26,0.16,2.1,4,NA,NA,6992.97,111.3
3130,Sand Pond,Denmark,0.79,MESO,no dam,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Hiram,Oxford,358250,4868317,43.954324,-70.76665829,Above average,None known,Coldwater + Warmwater,1003620.39,0.76,3.7,13.4,4604718,557,670.81,153.3
3132,Hancock Pond,"Sebago, Denmark",0.79,MESO,surface increased <50%,SACO,UPPER SACO,Saco River at Ossipee River,106000205,North Sebago,Oxford,359891,4866648,43.93962088,-70.74577824,Average,None known,Coldwater + Warmwater,3079657.74,1.34,5.2,18,17353330,1082.99,2455.31,153.3
3134,Moose Pond,"Bridgton, Denmark, Sweden",1.04,MESO,surface increased <50%,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Pleasant Mtn,Cumberland,356108,4878073,44.04170168,-70.79599161,Above average,None known,Coldwater + Warmwater,6867515.35,5.36,6.7,21.3,39496643,5121.97,6630.37,127.4
3136,Barker Pond,"Sebago, Hiram",5.71,MESO,no dam,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Hiram,Oxford,359007,4861638,43.89436284,-70.75545876,Average,None known,Coldwater + Warmwater,1052182.67,0.8,6.1,13.4,4986961,1433.99,4817.38,150.6
3138,Southeast Pond,"Baldwin, Hiram",3.0500000000000003,MESO,no dam,SACO,UPPER SACO,Saco River at Ossipee River,106000205,North Sebago,Cumberland,359799,4860343,43.88285747,-70.74527017,n/a,None known,Warmwater,655590.74,0.47,2.4,9.1,1389049,643,764.05,151.5
3140,Perley Pond,Denmark,1.45,MESO,no dam,SACO,UPPER SACO,Saco River at Ossipee River,106000205,North Sebago,Oxford,359918,4869709,43.96716957,-70.74625135,Average,None known,Warmwater,275186.24,0.24,4,8.2,1211814,114,370.37,158.8
3142,Lilly Pond,Denmark,13.200000000000001,NA,NA,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Hiram,Oxford,359456,4869511,43.9652997,-70.75194996,n/a,None known,n/a,24281.14,0.06,NA,NA,60001,140,142.45,160
3144,Horseshoe Pond,Denmark,0.38,NA,NA,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Hiram,Oxford,352602,4866268,43.93478121,-70.83644948,n/a,None known,n/a,64749.7,0.26,NA,NA,423004,13,20.72,108.2
3146,Boston Pond,Denmark,1.3900000000000001,NA,NA,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Hiram,Oxford,352100,4866121,43.93335279,-70.84265766,n/a,None known,n/a,76890.27,0.18,NA,NA,231002,46,49.21,108.2
3148,Burbank Pond,"Denmark, Hiram",NA,NA,NA,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Hiram,Oxford,352919,4863553,43.91040772,-70.83175615,n/a,None known,n/a,20234.28,0.1,NA,NA,NA,NA,NA,108.2
3152,Tenmile Pond,Brownfield,NA,NA,NA,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Hiram,Oxford,350498,4864002,43.91395795,-70.8620119,n/a,None known,n/a,20234.28,0.13,NA,NA,NA,NA,3263.39,115.8
3154,Middle Pond,Hiram,NA,NA,NA,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Hiram,Oxford,359391,4864415,43.91942724,-70.75142205,n/a,None known,No fishery,137593.12,0.18,NA,NA,NA,NA,3418.78,151.8
3156,Chalk Pond,Porter,18.9,NA,NA,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,Oxford,340232,4857788,43.85589271,-70.98793493,n/a,None known,Coldwater,4046.86,0.03,NA,NA,30000,92,93.24,185.9
3158,Bickford Pond,Porter,3.48,MESO,surface increased <50%,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,Oxford,341480,4855844,43.83866607,-70.97184149,Above average,None known,Coldwater + Warmwater,866027.27,1.21,3.7,21,4681962,1518.99,2693.59,140.8
3160,Colcord Lake,Porter,0.48,OLIGO,surface increased <50%,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,Oxford,342719,4856835,43.84784909,-70.95673806,Above average,None known,Coldwater + Warmwater,995526.68,0.6,11.3,32,12376594,890,979.02,162.5
3162,Hubbard Pond,Porter,NA,EUTRO,no dam,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,Oxford,341344,4853325,43.81596897,-70.97278282,n/a,None known,n/a,24281.14,0.08,NA,NA,NA,NA,155.4,184.4
3164,Mine Pond,Porter,1.21,MESO,no dam,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,Oxford,340777,4852611,43.80942183,-70.97962319,n/a,None known,Coldwater + Warmwater,202342.82,0.27,4.6,10.4,1053127,189,98.42,155.4
3166,Plain Pond,Porter,4,EUTRO,no dam,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,Oxford,341552,4851658,43.80101681,-70.96970662,n/a,None known,Warmwater,72843.42,0.13,4.6,7.6,298982,193,199.43,120.4
3168,Chapman Pond,Porter,3.73,MESO,no dam,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,Oxford,346748,4855644,43.8379827,-70.90628952,n/a,None known,Coldwater + Warmwater,44515.42,0.08,1.8,3.7,80528,45,49.21,157
3170,Spectacle Pond #1,Porter,13.200000000000001,MESO,no dam,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,Oxford,347271,4853366,43.81758448,-70.89914592,n/a,None known,Warmwater,169967.97,0.16,3.7,8.8,674064,67,1465.93,115.8
3172,Spectacle Pond #2,Porter,25.1,MESO,no dam,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,Oxford,346826,4853784,43.82126067,-70.90479551,n/a,None known,Warmwater,145686.83,0.23,2.4,4.6,334927,141,1383.05,115.8
3174,Big Clemons Pond,Hiram,2.55,MESO,no dam,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Brownfield,Oxford,349005,4859895,43.87669526,-70.8794421,Above average,None known,Warmwater,327795.37,0.4,3.7,13.4,1504040,310,629.37,122.2
3176,Little Clemons Pond,Hiram,3.4,MESO,no dam,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Kezar Falls,Oxford,348530,4858658,43.86547276,-70.88499861,Above average,None known,Coldwater + Warmwater,121405.69,0.19,4,9.1,501965,273,284.9,125
3178,Jaybird Pond,"Hiram, Porter",10.6,EUTRO,no dam,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,Oxford,347844,4857528,43.85515794,-70.89320575,Below average,None known,Coldwater,56655.99,0.19,2.7,6.4,53133,88,90.65,126.5
3180,Trafton Pond,"Hiram, Porter",3.1,MESO,no dam,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,Oxford,348004,4856507,43.84600118,-70.89092611,Above average,None known,Coldwater + Warmwater,206389.68,0.24,4.9,13.1,1302943,554,668.22,118.3
3182,Stanley Pond,"Hiram, Porter",1.3,MESO,surface increased <50%,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,Oxford,348237,4855232,43.83458117,-70.88766387,n/a,None known,Coldwater + Warmwater,590841.04,0.77,8.5,22.9,5287389,471,1193.98,116.4
3184,Allen Pond,Parsonsfield,4.72,NA,NA,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,York,344466,4848421,43.77250881,-70.93257197,n/a,None known,n/a,28327.99,0.08,NA,NA,84001,62,64.75,153.9
3185,unnamed pond,Parsonsfield,NA,NA,NA,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,York,348003,4848195,43.77120408,-70.88858499,n/a,None known,n/a,89030.84,0.23,NA,NA,NA,NA,NA,150.9
3186,West Pond,Parsonsfield,0.68,MESO,no dam,SACO,MIDDLE SACO,Little Ossipee River,106000210,Cornish,York,349198,4846204,43.75352941,-70.87317919,Average,Curly-leaf pondweed,Warmwater,675825.02,0.48,3,8.5,2221844,194,271.95,169.2
3187,unnamed pond,Parsonsfield,NA,NA,NA,SACO,OSSIPEE,Ossipee River,106000209,Kezar Falls,York,346463,4848834,43.77663448,-70.90788329,n/a,None known,n/a,16187.43,0.1,NA,NA,NA,NA,NA,126.5
3188,Foster Pond,Bridgton,0.97,MESO,no dam,PRESUMPSCOT,PRESUMPSCOT,Sebago Lake,106000101,North Sebago,Cumberland,364720,4869484,43.96604363,-70.68636222,Above average,None known,Coldwater + Warmwater,602981.61,0.4,5.2,8.5,2941203,435,468.79,143
3190,Spruce Pond,Parsonsfield,16.66,MESO,no dam,SACO,OSSIPEE,Ossipee River,106000209,Cornish,York,350383,4848770,43.77686528,-70.85918169,n/a,None known,No fishery,84983.98,0.14,NA,NA,258002,696,688.94,131.1
3194,Shell Pond,"Stoneham, Stow",11.6,NA,NA,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Center Lovell,Oxford,342687,4900922,44.24454355,-70.97024018,n/a,None known,n/a,218530.25,0.35,NA,NA,660006,1163.99,1186.21,182.6
3196,Horseshoe Pond,"Lovell, Stoneham",1.4000000000000001,MESO,no dam,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Center Lovell,Oxford,345082,4899094,44.228613,-70.9397204,Above average,None known,Coldwater + Warmwater,550372.47,0.63,3.7,12.2,2328889,424,479.15,166.1
3197,Kezar River Impoundmnt,Lovell,NA,NA,NA,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Center Lovell,Oxford,349344,4888167,44.13118136,-70.88325881,n/a,None known,n/a,214483.39,0.53,NA,NA,NA,NA,NA,120.4
3198,Jewett Pond Kezar,Waterford,2.1,MESO,no dam,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,North Waterford,Oxford,356484,4897378,44.21550611,-70.79655847,Average,None known,Warmwater,174014.83,0.26,3.4,12.5,694320,255,271.95,176.8
3199,Back Pond Kezar,"Lovell, Stoneham",1.46,MESO,surface increased <50%,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,North Waterford,Oxford,355090,4896789,44.20992235,-70.81384516,Average,None known,Coldwater + Warmwater,218530.25,0.23,5.2,9.8,1016097,239,259,174.3
3200,Farrington Pond,Lovell,2.31,MESO,no dam,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Center Lovell,Oxford,345947,4893359,44.17718453,-70.92721623,Average,None known,Warmwater,230670.82,0.23,1.5,4.6,460175,138,163.17,117.3
3201,Middle Pond Kezar,"Lovell, Stoneham, Waterford",3.21,MESO,no dam,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,North Waterford,Oxford,355357,4896514,44.20750555,-70.81041849,Average,None known,Coldwater + Warmwater,372310.79,0.48,4.6,14.9,1869199,85,1351.97,174.3
3202,Moose Pond,Lovell,NA,NA,NA,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Center Lovell,Oxford,344855,4897258,44.21204439,-70.94201782,n/a,None known,n/a,12140.57,0.06,NA,NA,NA,NA,582.75,157
3204,Noah Eastman Pond,Lovell,6.5,NA,NA,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Center Lovell,Oxford,346101,4896434,44.20489126,-70.92618882,n/a,None known,n/a,28327.99,0.08,NA,NA,60001,60,62.16,150.9
3206,Charles Pond,Fryeburg,NA,MESO,no dam,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Center Lovell,Oxford,342481,4888640,44.13398578,-70.96913499,n/a,None known,Warmwater,501810.2,0.35,2.4,4,NA,NA,19502.61,114.6
3208,Mud Pond,Albany Twp,NA,NA,NA,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,North Waterford,Oxford,357829,4900277,44.24185296,-70.7805206,n/a,None known,n/a,8093.71,0.05,NA,NA,NA,NA,10.36,172.2
3210,Proctor Pond,"Stoneham, Albany Twp",NA,EUTRO,no dam,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,North Waterford,Oxford,356588,4900496,44.24358363,-70.79611294,n/a,None known,Warmwater,133546.26,0.16,2.4,4.6,NA,NA,3185.69,175.9
3212,Trout Pond,Stoneham,0.6,MESO,no dam,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,North Waterford,Oxford,354339,4899197,44.23144495,-70.82390614,n/a,None known,Coldwater,218530.25,0.21,8.2,20.7,2066491,209,230.51,241.7
3214,Weymouth Pond,Stoneham,1.2,MESO,no dam,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,North Waterford,Oxford,356125,4898882,44.22896536,-70.80146282,n/a,None known,Warmwater,76890.27,0.13,2.7,5.8,216426,41,49.21,216.4
3216,Whitney Pond,Stoneham,41,MESO,surface increased <50%,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,North Waterford,Oxford,356724,4899254,44.2324289,-70.79407232,n/a,None known,Warmwater,24281.14,0.06,0.9,1.5,19332,93,145.04,179.8
3220,Bradley Pond,Lovell,2.2,EUTRO,no dam,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,North Waterford,Oxford,351342,4899677,44.23515869,-70.861545949999993,n/a,None known,Coldwater + Warmwater,141639.97,0.23,3,8.8,387063,126,139.86,155.1
3222,Heald Pond,Lovell,7.9,MESO,surface increased <50%,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,North Waterford,Oxford,350870,4897795,44.21813163,-70.8669149,Average,None known,Warmwater,428966.78,0.55,NA,5.2,1230010,1096.99,1655,143.6
3224,Cushman Pond,Lovell,3.96,MESO,surface increased <50%,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,North Waterford,Oxford,353676,4897942,44.22001756,-70.83185687,Average,Variable water-milfoil,Coldwater,149733.69,0.19,4.6,6.4,562775,130,375.55,217.3
3226,Dan Charles Pond,Lovell,3.2,EUTRO,no dam,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,North Waterford,Oxford,354053,4893638,44.1813688,-70.82594276,n/a,None known,Warmwater,113311.98,0.16,1.8,4,240002,129,137.27,143.3
3228,Duck Pond,Waterford,1.7,EUTRO,no dam,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,North Waterford,Oxford,358419,4893063,44.17704754,-70.77118366,n/a,None known,Warmwater,153780.54,0.16,1.8,3,450004,125,139.86,326.1
3230,Black Pond,Sweden,14.3,MESO,NA,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,North Waterford,Oxford,356092,4889574,44.14520147,-70.7993323,n/a,None known,n/a,64749.7,0.1,NA,NA,210002,485,492.1,150.9
3232,Keys Pond,Sweden,0.8,MESO,surface increased <50%,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,North Waterford,Oxford,354437,4889401,44.14331672,-70.81996746,Above average,None known,Coldwater + Warmwater,772949.58,0.42,4.6,12.8,4077381,500,577.57,154.8
3234,Stearns Pond,Sweden,1.6,MESO,no dam,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,Pleasant Mtn,Oxford,357805,4886983,44.12222006,-70.77722156,Average,None known,Coldwater + Warmwater,1003620.39,0.5,8.2,14.3,8128747,1665.99,2398.33,134.1
3236,Webber Pond,Sweden,2.9,EUTRO,no dam,SACO,UPPER SACO,Saco River at Ossipee River,106000205,Pleasant Mtn,Oxford,354664,4887282,44.12429135,-70.81654431,n/a,None known,Warmwater,137593.12,0.18,1.5,2.4,185815,83,95.83,202.4
3238,Lily Pond,Sweden,NA,NA,NA,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,North Waterford,Oxford,350487,4888484,44.13426233,-70.86905715,n/a,None known,n/a,16187.43,0.05,NA,NA,NA,NA,46.62,129.5
3240,Lower Kimball Pond,Fryeburg,2.46,MESO,no dam,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Fryeburg,Oxford,340313,4884612,44.09727294,-70.99500677,n/a,None known,Warmwater,1602555.14,0.23,3.7,19.8,8748950,1290.99,3341.08,116.4
3242,Horseshoe Pond #1,Fryeburg,2.29,NA,NA,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Fryeburg,Oxford,342887,4886648,44.11614698,-70.96346435,n/a,None known,n/a,44515.42,0.32,NA,NA,168001,56,46.62,114.3
3244,Horseshoe Pond #2,Fryeburg,NA,NA,NA,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Fryeburg,Oxford,342717,4887341,44.12234755,-70.96580559,n/a,None known,n/a,24281.14,0.18,NA,NA,NA,NA,18.13,114.3
3245,unnamed pond,Fryeburg,0.91,NA,NA,NA,NA,Saco River-Lovewell Pond,106000204,Fryeburg,Oxford,346719,4883346,44.08725474,-70.91464209,n/a,None known,n/a,NA,NA,NA,NA,87001,10,NA,118.9
3246,Horseshoe Pond #3,Fryeburg,0.58,NA,NA,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Fryeburg,Oxford,347401,4882962,44.08394065,-70.90602861,n/a,None known,n/a,56655.99,0.24,NA,NA,168001,10,NA,112.8
3248,Bog Pond,Fryeburg,1.9000000000000001,MESO,no dam,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Fryeburg,Oxford,344887,4879496,44.05221999,-70.93639392,n/a,None known,Warmwater,186155.4,0.21,1.2,2.1,540005,153,170.94,113.4
3250,Cat Pond,Fryeburg,6.28,NA,NA,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Fryeburg,Oxford,346007,4877358,44.03321613,-70.92178987,n/a,None known,n/a,101171.41,0.4,NA,NA,354003,179,194.25,110.3
3252,Pleasant Pond,"Brownfield, Denmark, Fryeburg",12.3,MESO,no dam,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Fryeburg,Oxford,348644,4874303,44.006278,-70.88802506,Below average,None known,Warmwater,2444301.28,1.95,2.1,4.6,1949308,1993.99,3729.58,110.3
3254,Lovewell Pond,Fryeburg,0.5,MESO,no dam,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Fryeburg,Oxford,345166,4874304,44.00556373,-70.93138911,Below average,None known,Coldwater + Warmwater,4568900.9,1.51,5.2,13.7,26081201,1254.99,2224.8,108.8
3256,Wards Pond,Fryeburg,26.6,NA,NA,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Fryeburg,Oxford,341979,4875045,44.01154935,-70.97134015,n/a,None known,n/a,24281.14,0.13,NA,NA,120001,480,528.36,120.4
3258,Hunt Pond,Fryeburg,2.32,MESO,no dam,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Fryeburg,Oxford,339998,4883149,44.08403821,-70.99848723,n/a,None known,Warmwater,64749.7,0.13,NA,3,171115,55,56.98,144.8
3260,Trout Pond,Mason Twp,2.3,EUTRO,surface increased <50%,ANDROSCOGGIN,UPPER ANDROSCOGGIN,Androscoggin River (2) at Rumford Point,104000202,East Stoneham,Oxford,350675,4914724,44.37041821,-70.87419884,n/a,None known,Remote,60702.85,0.14,1.8,7,210002,78,85.47,264.6
3262,Songo Pond,"Bethel, Albany Twp",1.95,MESO,no dam,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,East Stoneham,Oxford,357271,4913481,44.36056252,-70.79110738,Average,None known,Coldwater + Warmwater,793183.86,0.56,2.7,7.6,2481668,748,828.8,198.4
3264,Broken Bridge Pond,Albany Twp,1.9000000000000001,MESO,surface increased <50%,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,East Stoneham,Oxford,355051,4908033,44.31110114,-70.81743787,n/a,None known,Coldwater + Warmwater,80937.13,0.14,3.7,7.6,315003,106,113.96,242
3265,unnamed pond,Albany Twp,NA,NA,NA,NA,NA,Sebago Lake,106000101,East Stoneham,Oxford,359750,4905006,44.28478059,-70.75773677,n/a,None known,n/a,20234.28,0.06,NA,NA,NA,NA,NA,283.2
3266,Kneeland Pond,Albany Twp,24.6,NA,NA,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,East Stoneham,Oxford,356963,4904269,44.27760421,-70.79245446,n/a,None known,Warmwater,64749.7,0.14,NA,NA,186002,536,826.21,179.5
3267,Sunken Pond,Albany Twp,NA,NA,NA,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,East Stoneham,Oxford,355148,4908700,44.31711969,-70.81641134,n/a,None known,n/a,4046.86,0.03,NA,NA,NA,NA,54.39,246.9
3268,Little Papoose Pond,Albany Twp,2.6,MESO,no dam,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,East Stoneham,Oxford,356535,4902515,44.26173674,-70.79732689,n/a,None known,Warmwater,80937.13,0.18,1.5,2.4,232002,102,119.14,167.6
3269,unnamed pond,Bethel,NA,NA,NA,NA,NA,Androscoggin River (2) at Rumford Point,104000202,Bethel,Oxford,355570,4918135,44.40210616,-70.81374392,n/a,None known,n/a,1214.06,0.02,NA,NA,NA,NA,NA,198.1
3270,Chalk Pond,Albany Twp,1.3,MESO,no dam,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,East Stoneham,Oxford,359721,4902185,44.25939083,-70.75734214,n/a,None known,No fishery,105218.27,0.14,0.6,1.2,314003,60,69.93,216.4
3272,Keewaydin Lake,Stoneham,2.64,MESO,surface increased <50%,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,East Stoneham,Oxford,353474,4902743,44.26318061,-70.83572163,n/a,None known,Coldwater + Warmwater,1064323.24,0.72,5.2,15.8,5134002,1222.99,2276.6,206
3274,Virginia Lake,Stoneham,2.7,MESO,surface increased <50%,PRESUMPSCOT,SONGO-CROOKED,Sebago Lake,106000101,East Stoneham,Oxford,351231,4903645,44.27084455,-70.86406693,n/a,None known,Coldwater + Warmwater,586794.18,0.43,3,8.5,1891375,748,808.08,249.9
3276,B Pond,Upton,0.31,MESO,surface increased <50%,ANDROSCOGGIN,UMBAGOG-RANGELEY,Umbagog Lake Drainage,104000102,B Pond,Oxford,344861,4956307,44.74333277,-70.95965168,Above average,None known,Coldwater,1444727.74,0.82,8.8,33.5,12350281,480,647.5,423.4
3278,C Pond,C Surplus,2.09,EUTRO,no dam,ANDROSCOGGIN,UMBAGOG-RANGELEY,Umbagog Lake Drainage,104000102,B Pond,Oxford,350954,4953338,44.71792012,-70.88186768,n/a,None known,Coldwater,728434.16,0.51,3,11,1776845,687,727.79,393.8
3280,NA,Township C,NA,NA,NA,NA,NA,Richardson Lakes,104000101,Middle Dam,Oxford,348694,4960169,44.77890444,-70.91240834,n/a,None known,n/a,NA,NA,NA,NA,NA,NA,NA,441.4
